fuel_type,gearbox,mileage [km],model,name,place,price [pln],seller_type,year,engine_capacity [cm3],horsepower [km],additional_specification,is_gearbox_automatic,region
Diesel,Manualna,675000,MAN,MAN Inny,Olsztyn (Warmińsko-mazurskie),110700,Prywatny sprzedawca,2007,1050,440,Pierwszy właściciel w kraju,0,Warmińsko-mazurskie
Diesel,Manualna,500000,MAN,MAN Inny,Cząstków Polski (Mazowieckie),67650,Prywatny sprzedawca,2007,6871,239,Samochód Ciężarowy MAN HDS,0,Mazowieckie
Diesel,Manualna,201925,MAN,MAN TGE,Dęblin (Lubelskie),139999,Prywatny sprzedawca,2020,1968,177,"MAN Tge 3.180 180KM 200tyś km, Faktura Vat.",0,Lubelskie
Diesel,Manualna,226854,MAN,MAN TGE,Lublin (Lubelskie),88900,Anonimowy sprzedawca,2019,1968,177,"2.0 Diesel 177 KM, Brygadowy 7 os. 4x4, I Wł, Salon PL, DELAER FORDA",0,Lubelskie
Diesel,Automatyczna,10,MAN,MAN TGE,Grodzisk Mazowiecki (Mazowieckie),299000,Anonimowy sprzedawca,2024,1968,180,"9 miejsc, dostęny od ręki",1,Mazowieckie
Diesel,Manualna,880000,MAN,MAN Inny,Błaszki (Łódzkie),23000,Prywatny sprzedawca,2001,6871,280,MAN LE280B kontener,0,Łódzkie
Diesel,Manualna,145000,MAN,MAN TGE,Zgierz (Łódzkie),116850,Prywatny sprzedawca,2020,1968,140,MAN TGE 3.140 max długi,0,Łódzkie
Diesel,Manualna,1120000,MAN,MAN TGE,Zamość (Lubelskie),65900,Anonimowy sprzedawca,2018,1968,180,2.0 TDI!! 180KM!! 9 Osób!! Kamera!! Masaże!! Super Stan!!,0,Lubelskie
Benzyna,Automatyczna,120000,Maserati,Maserati Ghibli S Q4 Modena,Warszawa (Mazowieckie),120000,Prywatny sprzedawca,2021,2979,430,Brak dodatkowych informacji,1,Mazowieckie
Benzyna,Automatyczna,65202,Maserati,Maserati Quattroporte,Otwock (Mazowieckie),329000,Prywatny sprzedawca,2019,3799,530,"GTS, bogate wyposazenie",1,Mazowieckie
Benzyna,Automatyczna,94000,Maserati,Maserati Ghibli,Warszawa (Mazowieckie),158900,Prywatny sprzedawca,2019,2979,429,"stan perfect, 4x4, polskie menu, bezpośrednio",1,Mazowieckie
Benzyna,Automatyczna,107000,Maserati,Maserati GranTurismo,Kartuzy (Pomorskie),138000,Prywatny sprzedawca,2008,4244,405,"Granturismo Ultraleggera, zarejestrowane w kraju",1,Pomorskie
Benzyna,Automatyczna,87000,Maserati,Maserati Levante S Q4 GranSport,Zielona Góra (Lubuskie),74900,Prywatny sprzedawca,2018,2979,430,"SQ4 Gran Sport, Auto opłacone, sprawne, jeżdżące",1,Lubuskie
Benzyna,Automatyczna,123152,Maserati,Maserati Quattroporte Sport GT Automatic,Zawada (Lubuskie),80900,Prywatny sprzedawca,2012,4244,400,Brak dodatkowych informacji,1,Lubuskie
Benzyna,Automatyczna,44000,Maserati,Maserati Ghibli GranSport,Poznań (Wielkopolskie),159900,Prywatny sprzedawca,2017,2979,350,Ghibli Gransport Lift Led,1,Wielkopolskie
Benzyna,Automatyczna,56200,Maserati,Maserati Levante S Q4,Modliborzyce (Lubelskie),116800,Prywatny sprzedawca,2017,2979,430,56 tyś km. Europa,1,Lubelskie
Benzyna,Automatyczna,131333,Maserati,Maserati Ghibli,Warszawa (Mazowieckie),103300,Prywatny sprzedawca,2015,2979,350,Maserati Ghibli,1,Mazowieckie
Benzyna,Automatyczna,47500,Maserati,Maserati Ghibli Granlusso,Konstantynów Łódzki (Łódzkie),125000,Prywatny sprzedawca,2018,2979,350,"Maserati Ghilbi 350KM, 47 tyś km, jak nowy",1,Łódzkie
Benzyna,Automatyczna,109500,Maserati,Maserati Ghibli S Q4,Ostrołęka (Mazowieckie),82000,Prywatny sprzedawca,2014,2979,430,"4x4, pełna korekta lakieru, możliwa zamiana",1,Mazowieckie
Benzyna,Automatyczna,55000,Maserati,Maserati Levante GT Hybrid,Łomża (Podlaskie),255555,Prywatny sprzedawca,2023,1995,330,"Maserati Levante 2,0 MHEV Gwarancja do 2026 Faktura Vat Europa",1,Podlaskie
Benzyna,Automatyczna,122700,Maserati,Maserati Ghibli S Q4,Konin (Wielkopolskie),119700,Prywatny sprzedawca,2017,2979,430,"Serwisowany ASO , SQ4 430km! , wersja poliftowa.",1,Wielkopolskie
Benzyna,Automatyczna,82000,Maserati,Maserati Levante,Kruszew (Mazowieckie),185000,Prywatny sprzedawca,2017,2979,430,Maserati Levante SQ4,1,Mazowieckie
Benzyna,Automatyczna,138000,Maserati,Maserati Levante Q4 Executive,Warszawa (Mazowieckie),154900,Prywatny sprzedawca,2017,2979,350,"Maserati Levante, stan idealny.",1,Mazowieckie
Benzyna,Automatyczna,41381,Maserati,Maserati Ghibli S GranLusso,Kielce (Świętokrzyskie),94777,Prywatny sprzedawca,2018,2979,430,S 431KM GRANLUSSO LIFT Zegna Edition * Dostępny od ręki w PL * OKAZJA,1,Świętokrzyskie
Benzyna,Automatyczna,153000,Maserati,Maserati Ghibli S Q4,Poznań (Wielkopolskie),44000,Prywatny sprzedawca,2014,2979,410,Maserati Ghibli SQ4,1,Wielkopolskie
Benzyna,Automatyczna,14000,Maserati,Maserati Levante Trofeo,Siedlce (Mazowieckie),499000,Prywatny sprzedawca,2022,3799,580,"V8 580KM Ferrari Pełny Pakiet Trofeo, Śliczne,",1,Mazowieckie
Benzyna,Automatyczna,90000,Maserati,Maserati Ghibli S Q4,Warszawa (Mazowieckie),75000,Prywatny sprzedawca,2016,2979,410,"Maserati Ghibli SQ4, 410 KM",1,Mazowieckie
Benzyna,Automatyczna,47500,Maserati,Maserati Ghibli GranSport,Rzeszów (Podkarpackie),193000,Prywatny sprzedawca,2018,2979,350,Maserati Ghibli Gransport Japonia bezwypadkowy 100% oryginał,1,Podkarpackie
Benzyna,Automatyczna,157000,Maserati,Maserati Levante Q4,Grójec (Mazowieckie),88200,Prywatny sprzedawca,2018,2979,350,"Maserati Levante Q4 Pneumatyka,panorama",1,Mazowieckie
Benzyna,Automatyczna,48031,Maserati,Maserati Levante Q4 GranSport,Kielce (Świętokrzyskie),119999,Prywatny sprzedawca,2018,2979,350,"350KM GRANSPORT * Dostępny od ręki w PL, Bardzo delikatnie uszkodzony!",1,Świętokrzyskie
Benzyna,Automatyczna,63000,Maserati,Maserati Quattroporte GranSport S,Choszczno (Zachodniopomorskie),186000,Prywatny sprzedawca,2017,2979,430,"Quatropotre Grant Sport 2017r 3,0V6 430km",1,Zachodniopomorskie
Benzyna,Automatyczna,120000,Maserati,Maserati Ghibli Automatik,Warszawa (Mazowieckie),84900,Prywatny sprzedawca,2015,2979,330,"Faktura VAT, Zarejestrowany i opłacony w PL",1,Mazowieckie
Benzyna,Automatyczna,29000,Maserati,Maserati Ghibli S,Bogucin (Kujawsko-pomorskie),99000,Prywatny sprzedawca,2016,2979,410,Maserati Ghibli 3.0 B po lift model 2017,1,Kujawsko-pomorskie
Benzyna,Automatyczna,56000,Maserati,Maserati Ghibli S Modena,Warszawa (Mazowieckie),213900,Prywatny sprzedawca,2022,2979,430,"Modena S (424kM) MY22, Pakiet Nerissimo, LED",1,Mazowieckie
Benzyna,Automatyczna,21437,Maserati,Maserati Ghibli S Q4 Granlusso,Lublin (Lubelskie),176999,Prywatny sprzedawca,2021,2979,430,Maserati Ghibli SQ4 F-Vat 23% 430KM 2021,1,Lubelskie
Hybryda,Automatyczna,65000,Maserati,Maserati Levante MHEV GT,Warszawa (Mazowieckie),338000,Prywatny sprzedawca,2021,1995,330,Bezwypadkowy salon Polska stan Idealny Cesja leasingu,1,Mazowieckie
Benzyna,Automatyczna,75500,Maserati,Maserati Coupe 4200 Cambiocorsa,Tomaszów Mazowiecki (Łódzkie),109000,Prywatny sprzedawca,2002,4244,390,4200 COUPE Super stan! Zarejestrowany w PL.,1,Łódzkie
Benzyna,Automatyczna,31635,Maserati,Maserati Ghibli S Q4 Granlusso,Gorlice (Małopolskie),168000,Prywatny sprzedawca,2020,2979,430,Maserati Ghibli SQ4 430 KM 2020 4x4,1,Małopolskie
Diesel,Automatyczna,149950,Maserati,Maserati Ghibli Diesel Automatik,Sopot (Pomorskie),99000,Prywatny sprzedawca,2015,2987,275,Unikatowa konfiguracja Ghibli (Fuoriserie),1,Pomorskie
Diesel,Automatyczna,163426,Maserati,Maserati Ghibli Diesel Essence,Ruda Śląska (Śląskie),85000,Prywatny sprzedawca,2014,2987,275,Gorąco polecam. Samochód dla prawdziwych koneserów motoryzacji,1,Śląskie
Benzyna,Automatyczna,92500,Maybach,Maybach Inny,Janki (Mazowieckie),479900,Anonimowy sprzedawca,2019,3982,469,"Maybach, Fv23%, Salon PL, Serwisowany",1,Mazowieckie
Benzyna,Automatyczna,71600,Maybach,Maybach 62 Standard,Gliwice (Śląskie),450000,Anonimowy sprzedawca,2006,5513,550,"62, Trennwand, CaspianBlackChromaflair, Japonia",1,Śląskie
